"registrikood";"tegevusala_kood";"tegevusala_nimetus"
"75002749";"93111 ";"Spordirajatiste käitus "
"75008976";"85312 ";"Põhikoolide tegevus "
"75006189";"85313 ";"Gümnaasiumide tegevus "
"75006138";"87301 ";"Vanurite ja puuetega inimeste hoolekandeasutuste tegevus "
"75002867";"85102 ";"Lasteaedade tegevus "
"75002910";"85102 ";"Lasteaedade tegevus "
"75038536";"85311 ";"Lasteaed-põhikoolide tegevus "
"75022150";"87901 ";"Asenduskoduteenust osutavate hoolekandeasutuste tegevus "
"75022143";"91011 ";"Raamatukogude tegevus "
"75022114";"84114 ";"Valla- ja linnavalitsuste tegevus "
"74002523";"84231 ";"Kohtute tegevus ja haldus "
"75015692";"85311 ";"Lasteaed-põhikoolide tegevus "
"75028720";"85529 ";"Muu huvikoolitus "
"75015657";"91011 ";"Raamatukogude tegevus "
"75015640";"84114 ";"Valla- ja linnavalitsuste tegevus "
"75006055";"91011 ";"Raamatukogude tegevus "
"75024705";"91011 ";"Raamatukogude tegevus "
"75017449";"85102 ";"Lasteaedade tegevus "
"75025963";"85312 ";"Põhikoolide tegevus "
"75025532";"85102 ";"Lasteaedade tegevus "
"75025905";"91021 ";"Muuseumide tegevus "
"75030220";"87301 ";"Vanurite ja puuetega inimeste hoolekandeasutuste tegevus "
"75012340";"93291 ";"Kultuurikeskused ja rahvamajad "
"75012334";"85102 ";"Lasteaedade tegevus "
"75012280";"85312 ";"Põhikoolide tegevus "
"75012386";"91011 ";"Raamatukogude tegevus "
"75012274";"84114 ";"Valla- ja linnavalitsuste tegevus "
"75012311";"68329 ";"Muu kinnisvarahaldus või haldusega seotud tegevused "
"75011027";"85102 ";"Lasteaedade tegevus "
"75011042";"85312 ";"Põhikoolide tegevus "
"75011079";"91011 ";"Raamatukogude tegevus "
"75011062";"93291 ";"Kultuurikeskused ja rahvamajad "
"75023622";"85311 ";"Lasteaed-põhikoolide tegevus "
"75023616";"93291 ";"Kultuurikeskused ja rahvamajad "
"75023591";"84114 ";"Valla- ja linnavalitsuste tegevus "
"75023639";"91011 ";"Raamatukogude tegevus "
"70000303";"84139 ";"Muud majandustegevust toetavad tegevused "
"75003520";"85311 ";"Lasteaed-põhikoolide tegevus "
"75003499";"91011 ";"Raamatukogude tegevus "
"75003482";"84114 ";"Valla- ja linnavalitsuste tegevus "
"75009102";"85102 ";"Lasteaedade tegevus "
"75009094";"91011 ";"Raamatukogude tegevus "
"75017455";"85102 ";"Lasteaedade tegevus "
"75025495";"85529 ";"Muu huvikoolitus "
"75011553";"85313 ";"Gümnaasiumide tegevus "
"75038500";"93291 ";"Kultuurikeskused ja rahvamajad "
"75011599";"85102 ";"Lasteaedade tegevus "
"75011613";"85521 ";"Muusika- ja kunstikoolitus "
"75028246";"88991 ";"Mujal liigitamata sotsiaalhoolekanne majutuseta "
"75011636";"91011 ";"Raamatukogude tegevus "
"75011620";"85511 ";"Spordikoolid "
"75026848";"93111 ";"Spordirajatiste käitus "
"75011547";"84114 ";"Valla- ja linnavalitsuste tegevus "
"75034755";"93291 ";"Kultuurikeskused ja rahvamajad "
"75011576";"85201 ";"Lasteaed-algkoolide tegevus "
"70003023";"85312 ";"Põhikoolide tegevus "
"75026649";"85312 ";"Põhikoolide tegevus "
"75026619";"85102 ";"Lasteaedade tegevus "
"75001425";"85312 ";"Põhikoolide tegevus "
"75001460";"91011 ";"Raamatukogude tegevus "
"75024343";"85521 ";"Muusika- ja kunstikoolitus "
"75014238";"84114 ";"Valla- ja linnavalitsuste tegevus "
"75016332";"93111 ";"Spordirajatiste käitus "
"75016326";"88101 ";"Vanurite ja puuetega inimeste sotsiaalhoolekanne ilma majutuseta "
"75008545";"87301 ";"Vanurite ja puuetega inimeste hoolekandeasutuste tegevus "
"75008580";"85102 ";"Lasteaedade tegevus "
"75008574";"85312 ";"Põhikoolide tegevus "
"75008551";"91011 ";"Raamatukogude tegevus "
"75002361";"91011 ";"Raamatukogude tegevus "
"75025383";"85202 ";"Algkoolide tegevus "
"75025437";"91011 ";"Raamatukogude tegevus "
"75025348";"93291 ";"Kultuurikeskused ja rahvamajad "
"75015485";"85311 ";"Lasteaed-põhikoolide tegevus "
"75015491";"91011 ";"Raamatukogude tegevus "
"75008829";"85102 ";"Lasteaedade tegevus "
"75026448";"85313 ";"Gümnaasiumide tegevus "
"75026454";"93291 ";"Kultuurikeskused ja rahvamajad "
"75026460";"85102 ";"Lasteaedade tegevus "
"75026477";"91011 ";"Raamatukogude tegevus "
"75026431";"84114 ";"Valla- ja linnavalitsuste tegevus "
"75016220";"93291 ";"Kultuurikeskused ja rahvamajad "
"70000941";"84111 ";"Täitev- ja seadusandlike organite tegevus "
"75030020";"93291 ";"Kultuurikeskused ja rahvamajad "
"75020517";"88991 ";"Mujal liigitamata sotsiaalhoolekanne majutuseta "
"75020581";"93291 ";"Kultuurikeskused ja rahvamajad "
"75020523";"85102 ";"Lasteaedade tegevus "
"75020569";"91011 ";"Raamatukogude tegevus "
"75020500";"84114 ";"Valla- ja linnavalitsuste tegevus "
"75020575";"91021 ";"Muuseumide tegevus "
"75020552";"85521 ";"Muusika- ja kunstikoolitus "
"75030533";"93111 ";"Spordirajatiste käitus "
"75034347";"84123 ";"Elamu- ja kommunaalmajanduse haldus "
"75027695";"85313 ";"Gümnaasiumide tegevus "
"75003677";"85201 ";"Lasteaed-algkoolide tegevus "
"75003631";"91011 ";"Raamatukogude tegevus "
"75003737";"93111 ";"Spordirajatiste käitus "
"75024934";"91011 ";"Raamatukogude tegevus "
"70003744";"85321 ";"Kutseõppeasutuste tegevus "
"75028022";"85313 ";"Gümnaasiumide tegevus "
"75039468";"87301 ";"Vanurite ja puuetega inimeste hoolekandeasutuste tegevus "
"75023332";"85102 ";"Lasteaedade tegevus "
"75027962";"68329 ";"Muu kinnisvarahaldus või haldusega seotud tegevused "
"75024567";"85521 ";"Muusika- ja kunstikoolitus "
"75034494";"84123 ";"Elamu- ja kommunaalmajanduse haldus "
"75024550";"90011 ";"Teatri- ja tantsuetenduste lavastamine ja esitamine "
"75023266";"84114 ";"Valla- ja linnavalitsuste tegevus "
"75023349";"85521 ";"Muusika- ja kunstikoolitus "
"75024596";"85529 ";"Muu huvikoolitus "
"75023295";"85102 ";"Lasteaedade tegevus "
"75038730";"87901 ";"Asenduskoduteenust osutavate hoolekandeasutuste tegevus "
"75023289";"85102 ";"Lasteaedade tegevus "
"75023303";"85102 ";"Lasteaedade tegevus "
"75023272";"85102 ";"Lasteaedade tegevus "
"75024521";"85313 ";"Gümnaasiumide tegevus "
"75024604";"85312 ";"Põhikoolide tegevus "
"75003694";"85102 ";"Lasteaedade tegevus "
"75019750";"85311 ";"Lasteaed-põhikoolide tegevus "
"75024917";"85102 ";"Lasteaedade tegevus "
"75002732";"55203 ";"Puhkeküla ja puhkelaager kasutamisega seotud tegevused "
"75024946";"91011 ";"Raamatukogude tegevus "
"75032934";"87301 ";"Vanurite ja puuetega inimeste hoolekandeasutuste tegevus "
"75022574";"85313 ";"Gümnaasiumide tegevus "
"75025515";"85521 ";"Muusika- ja kunstikoolitus "
"75025526";"85102 ";"Lasteaedade tegevus "
"75032928";"85529 ";"Muu huvikoolitus "
"75035329";"91011 ";"Raamatukogude tegevus "
"75033496";"84114 ";"Valla- ja linnavalitsuste tegevus "
"75009579";"85311 ";"Lasteaed-põhikoolide tegevus "
"75009609";"91011 ";"Raamatukogude tegevus "
"75001170";"91011 ";"Raamatukogude tegevus "
"75011234";"93291 ";"Kultuurikeskused ja rahvamajad "
"75011228";"85312 ";"Põhikoolide tegevus "
"75011271";"85102 ";"Lasteaedade tegevus "
"75011292";"91011 ";"Raamatukogude tegevus "
"75038084";"93111 ";"Spordirajatiste käitus "
"75011211";"84114 ";"Valla- ja linnavalitsuste tegevus "
"75003393";"91011 ";"Raamatukogude tegevus "
"75009409";"68322 ";"Aiandus- ja suvilaühistute jms haldus "
"75009800";"85313 ";"Gümnaasiumide tegevus "
"75020606";"85102 ";"Lasteaedade tegevus "
"75020612";"85521 ";"Muusika- ja kunstikoolitus "
"75018621";"85312 ";"Põhikoolide tegevus "
"75038954";"93291 ";"Kultuurikeskused ja rahvamajad "
"75018644";"91011 ";"Raamatukogude tegevus "
"75018638";"93111 ";"Spordirajatiste käitus "
"75012699";"87301 ";"Vanurite ja puuetega inimeste hoolekandeasutuste tegevus "
"75035795";"85311 ";"Lasteaed-põhikoolide tegevus "
"75012624";"93291 ";"Kultuurikeskused ja rahvamajad "
"75026537";"85312 ";"Põhikoolide tegevus "
"75026554";"91011 ";"Raamatukogude tegevus "
"75026520";"93291 ";"Kultuurikeskused ja rahvamajad "
"75026543";"87301 ";"Vanurite ja puuetega inimeste hoolekandeasutuste tegevus "
"75026508";"84114 ";"Valla- ja linnavalitsuste tegevus "
"75004917";"91011 ";"Raamatukogude tegevus "
"75000934";"85312 ";"Põhikoolide tegevus "
"75000970";"91011 ";"Raamatukogude tegevus "
"75018683";"87301 ";"Vanurite ja puuetega inimeste hoolekandeasutuste tegevus "
"75015315";"85102 ";"Lasteaedade tegevus "
"75008539";"84114 ";"Valla- ja linnavalitsuste tegevus "
"75014050";"85201 ";"Lasteaed-algkoolide tegevus "
"75014095";"91011 ";"Raamatukogude tegevus "
"75014114";"93291 ";"Kultuurikeskused ja rahvamajad "
"75022002";"91011 ";"Raamatukogude tegevus "
"75021971";"84114 ";"Valla- ja linnavalitsuste tegevus "
"75014637";"87301 ";"Vanurite ja puuetega inimeste hoolekandeasutuste tegevus "
"75014652";"85312 ";"Põhikoolide tegevus "
"75014646";"91011 ";"Raamatukogude tegevus "
"75014617";"84114 ";"Valla- ja linnavalitsuste tegevus "
"75020486";"91011 ";"Raamatukogude tegevus "
"75010559";"85312 ";"Põhikoolide tegevus "
"74002538";"91011 ";"Raamatukogude tegevus "
"75010246";"93111 ";"Spordirajatiste käitus "
"75010565";"85102 ";"Lasteaedade tegevus "
"75007505";"91011 ";"Raamatukogude tegevus "
"75012446";"85102 ";"Lasteaedade tegevus "
"75002270";"91011 ";"Raamatukogude tegevus "
"75010855";"85102 ";"Lasteaedade tegevus "
"75010832";"85312 ";"Põhikoolide tegevus "
"75010810";"93291 ";"Kultuurikeskused ja rahvamajad "
"75010849";"91011 ";"Raamatukogude tegevus "
"75010803";"84114 ";"Valla- ja linnavalitsuste tegevus "
"75020351";"93291 ";"Kultuurikeskused ja rahvamajad "
"75020368";"85102 ";"Lasteaedade tegevus "
"75020345";"85312 ";"Põhikoolide tegevus "
"75020374";"91011 ";"Raamatukogude tegevus "
"75020339";"84114 ";"Valla- ja linnavalitsuste tegevus "
"75038670";"85529 ";"Muu huvikoolitus "
"75026193";"85311 ";"Lasteaed-põhikoolide tegevus "
"75026164";"91011 ";"Raamatukogude tegevus "
"75009504";"93291 ";"Kultuurikeskused ja rahvamajad "
"75009496";"91011 ";"Raamatukogude tegevus "
"75035163";"87301 ";"Vanurite ja puuetega inimeste hoolekandeasutuste tegevus "
"75009467";"84114 ";"Valla- ja linnavalitsuste tegevus "
"70002822";"85312 ";"Põhikoolide tegevus "
"75020823";"93291 ";"Kultuurikeskused ja rahvamajad "
"75020836";"91011 ";"Raamatukogude tegevus "
"75020859";"87301 ";"Vanurite ja puuetega inimeste hoolekandeasutuste tegevus "
"75020799";"84114 ";"Valla- ja linnavalitsuste tegevus "
"75011435";"91011 ";"Raamatukogude tegevus "
"75003654";"85312 ";"Põhikoolide tegevus "
"75003625";"91011 ";"Raamatukogude tegevus "
"75012127";"85312 ";"Põhikoolide tegevus "
"75016792";"85313 ";"Gümnaasiumide tegevus "
"75031739";"85529 ";"Muu huvikoolitus "
"75016013";"84114 ";"Valla- ja linnavalitsuste tegevus "
"75007563";"85521 ";"Muusika- ja kunstikoolitus "
"75038307";"85529 ";"Muu huvikoolitus "
"75017691";"85312 ";"Põhikoolide tegevus "
"75038948";"96041 ";"Saunade, solaariumite ja massaaşisalongide tegevus jm füüsilise "
"75035281";"88101 ";"Vanurite ja puuetega inimeste sotsiaalhoolekanne ilma majutuseta "
"75018802";"93111 ";"Spordirajatiste käitus "
"75016817";"85313 ";"Gümnaasiumide tegevus "
"75010275";"87901 ";"Asenduskoduteenust osutavate hoolekandeasutuste tegevus "
"75010526";"85102 ";"Lasteaedade tegevus "
"75024751";"85102 ";"Lasteaedade tegevus "
"75008516";"85102 ";"Lasteaedade tegevus "
"75017461";"85102 ";"Lasteaedade tegevus "
"75017478";"85102 ";"Lasteaedade tegevus "
"75023668";"85102 ";"Lasteaedade tegevus "
"75003074";"85102 ";"Lasteaedade tegevus "
"75017484";"85102 ";"Lasteaedade tegevus "
"75017840";"85102 ";"Lasteaedade tegevus "
"75014474";"85102 ";"Lasteaedade tegevus "
"75017863";"85102 ";"Lasteaedade tegevus "
"75026603";"85102 ";"Lasteaedade tegevus "
"75017873";"85102 ";"Lasteaedade tegevus "
"75026224";"85102 ";"Lasteaedade tegevus "
"75019572";"85102 ";"Lasteaedade tegevus "
"75017892";"85102 ";"Lasteaedade tegevus "
"75017900";"85102 ";"Lasteaedade tegevus "
"75011949";"85102 ";"Lasteaedade tegevus "
"75017917";"85102 ";"Lasteaedade tegevus "
"75011518";"85102 ";"Lasteaedade tegevus "
"75011524";"85102 ";"Lasteaedade tegevus "
"75026230";"85102 ";"Lasteaedade tegevus "
"75026709";"85102 ";"Lasteaedade tegevus "
"75019589";"85102 ";"Lasteaedade tegevus "
"75014497";"85102 ";"Lasteaedade tegevus "
"75018153";"85101 ";"Lastesõimede tegevus "
"75017938";"85101 ";"Lastesõimede tegevus "
"75000928";"91011 ";"Raamatukogude tegevus "
"75000992";"93291 ";"Kultuurikeskused ja rahvamajad "
"75039391";"85529 ";"Muu huvikoolitus "
"75000911";"84114 ";"Valla- ja linnavalitsuste tegevus "
"75018696";"85102 ";"Lasteaedade tegevus "
"75012156";"85312 ";"Põhikoolide tegevus "
"75034324";"85312 ";"Põhikoolide tegevus "
"75034531";"91011 ";"Raamatukogude tegevus "
"75025667";"85312 ";"Põhikoolide tegevus "
"75000041";"91011 ";"Raamatukogude tegevus "
"75027152";"91011 ";"Raamatukogude tegevus "
"75020316";"87301 ";"Vanurite ja puuetega inimeste hoolekandeasutuste tegevus "
"75020279";"91011 ";"Raamatukogude tegevus "
"75025762";"85311 ";"Lasteaed-põhikoolide tegevus "
"75025779";"91011 ";"Raamatukogude tegevus "
"75016272";"85311 ";"Lasteaed-põhikoolide tegevus "
"75016311";"93291 ";"Kultuurikeskused ja rahvamajad "
"75028832";"85102 ";"Lasteaedade tegevus "
"75012297";"85312 ";"Põhikoolide tegevus "
"75012375";"91011 ";"Raamatukogude tegevus "
"75019684";"85313 ";"Gümnaasiumide tegevus "
"75019626";"91011 ";"Raamatukogude tegevus "
"75019690";"84123 ";"Elamu- ja kommunaalmajanduse haldus "
"75019595";"84114 ";"Valla- ja linnavalitsuste tegevus "
"75021801";"93291 ";"Kultuurikeskused ja rahvamajad "
"75021913";"91011 ";"Raamatukogude tegevus "
"70000800";"84132 ";"Transpordi ja side haldus "
"75012104";"91011 ";"Raamatukogude tegevus "
"75001845";"85201 ";"Lasteaed-algkoolide tegevus "
"75001856";"91011 ";"Raamatukogude tegevus "
"75013581";"85313 ";"Gümnaasiumide tegevus "
"75022389";"93291 ";"Kultuurikeskused ja rahvamajad "
"75013606";"85102 ";"Lasteaedade tegevus "
"75022404";"85521 ";"Muusika- ja kunstikoolitus "
"75034519";"91011 ";"Raamatukogude tegevus "
"75013575";"84114 ";"Valla- ja linnavalitsuste tegevus "
"75020888";"91011 ";"Raamatukogude tegevus "
"75006262";"91021 ";"Muuseumide tegevus "
"75034488";"91011 ";"Raamatukogude tegevus "
"75007043";"85529 ";"Muu huvikoolitus "
"75023214";"93291 ";"Kultuurikeskused ja rahvamajad "
"75022249";"91011 ";"Raamatukogude tegevus "
"75014327";"85201 ";"Lasteaed-algkoolide tegevus "
"75015120";"91011 ";"Raamatukogude tegevus "
"75007576";"69202 ";"Raamatupidamine, maksualane nõustamine "
"75011731";"85102 ";"Lasteaedade tegevus "
"75027175";"91011 ";"Raamatukogude tegevus "
"75036642";"85102 ";"Lasteaedade tegevus "
"75003855";"91011 ";"Raamatukogude tegevus "
"75004487";"85311 ";"Lasteaed-põhikoolide tegevus "
"75004518";"91011 ";"Raamatukogude tegevus "
"75039250";"93291 ";"Kultuurikeskused ja rahvamajad "
"75004464";"84114 ";"Valla- ja linnavalitsuste tegevus "
"75022737";"85313 ";"Gümnaasiumide tegevus "
"75023450";"85102 ";"Lasteaedade tegevus "
"75023467";"91011 ";"Raamatukogude tegevus "
"75013457";"84114 ";"Valla- ja linnavalitsuste tegevus "
"75023444";"85521 ";"Muusika- ja kunstikoolitus "
"75035602";"85529 ";"Muu huvikoolitus "
"75026626";"85313 ";"Gümnaasiumide tegevus "
"75026595";"85102 ";"Lasteaedade tegevus "
"75021056";"91011 ";"Raamatukogude tegevus "
"75008002";"91011 ";"Raamatukogude tegevus "
"75007994";"85102 ";"Lasteaedade tegevus "
"75010453";"85102 ";"Lasteaedade tegevus "
"75023527";"85312 ";"Põhikoolide tegevus "
"70002443";"85321 ";"Kutseõppeasutuste tegevus "
"75003826";"85313 ";"Gümnaasiumide tegevus "
"75003849";"93291 ";"Kultuurikeskused ja rahvamajad "
"75003890";"85102 ";"Lasteaedade tegevus "
"75003476";"84114 ";"Valla- ja linnavalitsuste tegevus "
"75013049";"91011 ";"Raamatukogude tegevus "
"75010134";"85102 ";"Lasteaedade tegevus "
"75012081";"85313 ";"Gümnaasiumide tegevus "
"75037624";"91011 ";"Raamatukogude tegevus "
"75012898";"91011 ";"Raamatukogude tegevus "
"70004301";"84111 ";"Täitev- ja seadusandlike organite tegevus "
"75039416";"84123 ";"Elamu- ja kommunaalmajanduse haldus "
"75038598";"84114 ";"Valla- ja linnavalitsuste tegevus "
"75038994";"85529 ";"Muu huvikoolitus "
"75039362";"91011 ";"Raamatukogude tegevus "
"75039422";"85529 ";"Muu huvikoolitus "
"75038977";"84114 ";"Valla- ja linnavalitsuste tegevus "
"70004714";"84111 ";"Täitev- ja seadusandlike organite tegevus "
"70006174";"85411 ";"Rakenduskõrgkoolide tegevus "
"75027525";"91011 ";"Raamatukogude tegevus "
"70000125";"71209 ";"Muu teimimine ja analüüs "
"75012854";"85511 ";"Spordikoolid "
"70000220";"71209 ";"Muu teimimine ja analüüs "
"75038167";"85313 ";"Gümnaasiumide tegevus "
"75010163";"91011 ";"Raamatukogude tegevus "
"75003571";"93291 ";"Kultuurikeskused ja rahvamajad "
"75003536";"85311 ";"Lasteaed-põhikoolide tegevus "
"75003507";"91011 ";"Raamatukogude tegevus "
"75002212";"85313 ";"Gümnaasiumide tegevus "
"75039356";"93291 ";"Kultuurikeskused ja rahvamajad "
"75034241";"85529 ";"Muu huvikoolitus "
"75039149";"91011 ";"Raamatukogude tegevus "
"75038629";"84114 ";"Valla- ja linnavalitsuste tegevus "
"75001715";"93291 ";"Kultuurikeskused ja rahvamajad "
"75001709";"85312 ";"Põhikoolide tegevus "
"75001744";"91011 ";"Raamatukogude tegevus "
"75026402";"85102 ";"Lasteaedade tegevus "
"75026388";"93291 ";"Kultuurikeskused ja rahvamajad "
"75026425";"85312 ";"Põhikoolide tegevus "
"75026394";"91011 ";"Raamatukogude tegevus "
"75014818";"91011 ";"Raamatukogude tegevus "
"75024656";"93291 ";"Kultuurikeskused ja rahvamajad "
"75001655";"85521 ";"Muusika- ja kunstikoolitus "
"75037529";"88911 ";"Lapsehoiuteenus "
"70003098";"84131 ";"Põllumajanduse, metsanduse, maakasutuse, kalanduse ja jahinduse "
"70000734";"84111 ";"Täitev- ja seadusandlike organite tegevus "
"70000059";"84131 ";"Põllumajanduse, metsanduse, maakasutuse, kalanduse ja jahinduse "
"70001490";"84132 ";"Transpordi ja side haldus "
"75011961";"85313 ";"Gümnaasiumide tegevus "
"75011493";"93291 ";"Kultuurikeskused ja rahvamajad "
"75011984";"85521 ";"Muusika- ja kunstikoolitus "
"75022545";"84112 ";"Rahandus- ja fiskaalpoliitikaga seotud tegevused "
"75011955";"91011 ";"Raamatukogude tegevus "
"75025035";"91012 ";"Arhiivide tegevus "
"75011470";"84114 ";"Valla- ja linnavalitsuste tegevus "
